id,name,country_id,age,position,speed,passing,shooting,defending,physical,dribbling
0102,Jorge Sánchez,1,28,RB,76,70,52,74,77,71
0103,César Montes,1,29,CB,68,64,48,79,80,60
0104,Edson Álvarez,1,28,CDM,71,74,62,83,85,72
0105,Johan Vásquez,1,27,CB,69,61,43,78,76,58
0106,Érik Lira,1,26,CDM,72,71,55,75,73,69
0107,Luis Romo,1,30,CM,66,75,70,76,79,73
0108,Álvaro Fidalgo,1,29,CM,74,81,68,64,66,80
0109,Raúl Jiménez,1,35,ST,68,72,79,45,74,73
0110,Alexis Vega,1,28,LW,79,76,78,41,72,81
0111,Santiago Giménez,1,25,ST,80,69,82,38,81,77
0114,Armando González,1,23,ST,76,60,72,32,68,71
0115,Israel Reyes,1,26,CB,73,67,50,76,74,65
0116,Julián Quiñones,1,29,LW,86,72,80,44,83,81
0117,Orbelín Pineda,1,30,CAM,77,77,73,58,68,79
0118,Obed Vargas,1,20,CM,74,72,63,68,70,73
0119,Gilberto Mora,1,17,CAM,75,71,67,40,54,76
0120,Mateo Chávez,1,22,LB,78,66,48,70,69,71
0121,César Huerta,1,25,LW,82,71,74,45,67,82
0122,Luis Chávez,1,30,CM,69,80,78,73,76,74
0123,Jesús Gallardo,1,31,LB,77,72,66,73,75,74
0124,Guillermo Martínez,1,31,ST,58,61,75,38,82,64
0125,Roberto Alvarado,1,27,RW,79,77,74,51,68,81
0126,Brian Gutiérrez,1,23,CAM,75,73,68,55,66,76
0202,Thabang Matuludi,2,26,RB,78,65,42,72,74,68
0203,Khulumani Ndamane,2,22,CB,66,60,40,75,77,58
0204,Teboho Mokoena,2,29,CDM,73,79,76,77,80,75
0205,Thalente Mbatha,2,26,CM,70,72,64,71,73,71
0206,Aubrey Modiba,2,30,LB,75,76,68,72,70,74
0207,Oswin Appollis,2,24,LW,81,73,71,35,62,79
0208,Tshepang Moremi,2,25,RW,80,70,67,38,64,76
0209,Lyle Foster,2,25,ST,79,68,77,40,78,74
0210,Relebohile Mofokeng,2,21,LW,84,72,69,32,58,82
0211,Themba Zwane,2,36,CAM,65,78,73,48,60,78
0212,Thapelo Maseko,2,22,LW,85,67,68,36,65,77
0213,Sphephelo Sithole,2,27,CDM,68,71,62,76,81,69
0214,Mbekezeli Mbokazi,2,20,CB,69,63,42,74,75,60
0215,Iqraam Rayners,2,30,ST,81,66,75,37,71,73
0217,Evidence Makgopa,2,26,ST,72,61,74,42,80,68
0218,Samukele Kabini,2,22,LB,76,68,54,71,72,70
0219,Nkosinathi Sibisi,2,30,CB,68,58,41,75,76,59
0220,Khuliso Mudau,2,31,RB,82,71,56,74,77,73
0221,Ime Okon,2,22,CB,71,62,45,76,78,62
